summary,m_price,minimum_ni,m_monrevie,m_hostlist,m_avaliabl,density,london_imd_rank,london_imd_decile,imd,income,employment,edu_ski_tra,health_depri,crime,hous_serv,living_env
4,76.25,1.75,0.716666667,1.75,0.651369863,1.05E-05,2478,6,19.895,0.143,0.086,10.345,-0.269,0.332,35.858,13.773
2,40.5,1,0.82,1.5,0,1.43E-05,2272,5,21.524,0.097,0.07,22.598,-0.464,-0.261,49.84,24.382
8,71.5,2.875,0.748333333,1.125,0.025,1.86E-05,2066,5,22.928,0.143,0.055,12.33,-0.718,0.04,48.046,41.409
4,22.5,1.5,2.0125,3,0.089726027,2.30E-05,1775,4,25.222,0.145,0.085,27.046,-0.747,0.167,46.265,29.84
5,62.4,1.6,1.08,1.2,0.472328767,1.60E-05,2320,5,21.12,0.124,0.068,13.258,-0.91,-0.457,53.276,23.986
7,30.14285714,5,0.7,1.857142857,0.254403131,1.85E-05,1986,5,23.491,0.11,0.061,30.81,-0.982,-0.117,52.686,29.429
8,39.5,2.125,0.816666667,1.5,0.206506849,4.16E-05,1958,5,23.721,0.134,0.064,21.904,-1.069,0.408,45.058,38.057
6,66.83333333,1.333333333,1.52,1.166666667,0.315525114,2.33E-05,1452,4,27.74,0.169,0.117,6.912,-0.519,0.077,54.349,30.802
12,50.58333333,4.5,1.114,3.166666667,0.517808219,3.91E-05,2831,6,17.634,0.123,0.068,7.192,-0.782,0.109,40.432,21.233
21,63.80952381,3.571428571,0.975294118,3.619047619,0.521852577,0.000130202,1887,4,24.308,0.134,0.081,14.776,-0.517,0.842,44.202,26.912
30,188.6,3,1.256,35.7,0.264474886,9.38E-05,2028,5,23.257,0.173,0.081,5.678,-0.207,0.969,32.497,27.71
28,96.03571429,5.642857143,0.99,7.357142857,0.244716243,0.000211133,1897,4,24.206,0.13,0.083,10.234,-0.308,0.98,41.181,29.383
38,86.52631579,5.789473684,1.1675,20.60526316,0.43777938,0.000103777,2306,5,21.226,0.133,0.089,9.526,-0.438,0.441,39.773,22.605
37,85.37837838,3.783783784,0.940967742,53.21621622,0.462865605,0.000167752,2545,6,19.535,0.142,0.071,4.003,-0.257,0.047,41.963,21.981
18,82.05555556,3.555555556,1.984,5.166666667,0.36803653,5.90E-05,1965,5,23.67,0.161,0.106,13.47,-0.353,0.357,38.841,20.737
15,53.66666667,2.466666667,0.658181818,8.533333333,0.381917808,3.72E-05,1334,3,28.578,0.166,0.129,14.319,-0.478,0.83,44.218,24.95
36,75.94444444,7.805555556,1.20962963,8.861111111,0.437442922,0.000243616,2287,5,21.374,0.12,0.094,8.118,-0.164,0.293,39.522,26.783
